class	Title	Description
3	Стоп машинам: как протесты дальнобойщиков заставили отменить штрафы - РБК	 Президент России Владимир Путин в курсе акций  протеста , которые проводят  дальнобойщики , заявил его пресс-секретарь Дмитрий Песков. Но сбор платы в компетенции правительства, указал он: «Все-таки это больше тема правительства, больше тема Минтранса, думаю, что ... 
0	Протест с большой дороги - Газета.Ru	Крупнейшие за последнее время акции  протеста  захлестнули всю Россию. В четверг по всей стране тысячи  дальнобойщиков  взбунтовались против системы оплаты за проезд по федеральным трассам «Платон». В Тверской области в ходе акции  протеста  в ДТП погиб один из ...
3	В Кремле попросили не драматизировать протесты дальнобойщиков - РБК	 Пресс-секретарь президента России Дмитрий Песков прокомментировал новую волну  протестов дальнобойщиков . По его словам, в Кремле «не склонны преувеличивать и излишне драматизировать» ситуацию. «Действительно, происходит запуск системы, которая была анонсирована ... 
1	Власти отреагировали на протесты дальнобойщиков - Вести.Ru	 В России продолжаются  протесты дальнобойщиков  против введения с 15 ноября платы за проезд по федеральным дорогам для грузовиков полной массой выше 12 тонн. И вот теперь власти отреагировали на протестное движение, причем поводов для оптимизма эта реакция не дает. 
3	Губернатор Архангельской области назвал безмозглостью протесты дальнобойщиков - Телеканал ДОЖДЬ (Регистрация)	 Дорога — это слишком дорогое удовольствие, чтобы к нему так легко относиться», — сказал Орлов на встрече со студентами в Санкт-Петербурге. Акции  протестов дальнобойщиков , которые проходили по всей России, связаны с введением правил оплаты проезда для автомобилей, ... 
3	"В поддержку акции протеста дальнобойщиков создан сайт ""Антиплатон"" - Радио Свобода"	 В интернете появился сайт «АнтиПлатон», созданный работниками IT-сферы для поддержки российских  дальнобойщиков , протестующих против введения платежной системы «Платон». Лозунг сайта – « Дальнобойщики  России против платных дорог». На его главной странице ... 
0	По всей России проходят акции протеста дальнобойщиков: водители перекрыли трассы, устроив пробки - NEWSru.com	" Сразу в нескольких городах России во вторник проходит масштабная акция  протеста дальнобойщиков , бунтующих против введения ""Платона"" - системы взимания платы с водителей большегрузов за проезд по федеральным трассам. Водители вышли на митинги от Урала до ... "
3	Дальнобойщики против «Платона»: перерастет ли протест в вооруженное восстание - Московский комсомолец	 А на 5 декабря 2015 года запланирована всероссийская акция  протеста дальнобойщиков , которую решили организовать и возглавить коммунисты. Они же призвали присоединиться к акции профсоюзы и весь трудовой народ. А Алексей Навальный пообещал подготовить листовки и ... 
3	Протесты дальнобойщиков поддержали все политические силы, кроме единороссов - Ведомости	 Лидер Российской партии автомобилистов, член фракции единороссов Вячеслав Лысаков, поддержавший  дальнобойщиков , говорит, что ему непонятно, почему не реагируют его коллеги по фракции: «Коммунисты раньше вообще не интересовались автомобильной тематикой, а теперь ... 
3	Протесты дальнобойщиков поддержали все политические силы, кроме единороссов - Ведомости	 Акции  дальнобойщиков  интересуют и внесистемную оппозицию: Алексей Навальный поддержал  дальнобойщиков  из Дагестана, которые собираются 30 ноября двинуться на Москву. В Петербурге  дальнобойщики  на легковушках подъехали к Смольному, требуя встречи с властями, ... 
1	"В России набирают обороты протесты против ""Платона"" - СЕГОДНЯ"	" В РФ набирает обороты  протест дальнобойщиков , на которых власти решили переложить часть трат за дороги: с 15 ноября водители автомобилей массой более 12 тонн должны платить $2,3 за 100 км федеральных дорог, а в 2016-м ставку увеличат вдвое. ""Это уже третий налог, ... "
1	Российские дальнобойщики переносят протесты из регионов в Москву и Санкт-Петербург - BIN.ua	 Российские  дальнобойщики  переносят  протесты  из регионов в Москву и Санкт-Петербург Участники акций неповиновения новой системе оплаты за проезд по дорогам России перемещают  протест  из регионов к Москве и Санкт-Петербургу. В провинции акции не так эффективны, ... 
1	ПРОТЕСТ ДАЛЬНОБОЙЩИКОВ: ПЛАТНЫЕ ДОРОГИ – ГОЛОДНАЯ РОССИЯ - ТВ2	«Платные дороги – голодная Россия» – под таким лозунгам томские дальнобойщики собрались сегодня на акцию протеста. Они выступают против взимания дополнительного налога за проезд по федеральным трассам.  Протесты дальнобойщиков  проходят последние две недели по ...
3	Дальнобойщики Кубани собрали подписи за отставку министра транспорта РФ - РБК	" По словам собеседника агентства,  протесты дальнобойщиков  не идут на спад и водители готовы к дальнейшей борьбе против системы ""Платон"" и ориентируются на коллег в Дагестане, где проходят самые массовые протесты. По данным собеседника агентства, сейчас в регионе в ... "
3	В Госдуме заявили о прекращении акции протеста дагестанских дальнобойщиков - Lenta.ru	 С начала месяца  дальнобойщики  во многих регионах проводят акции  протеста . Правительство России ранее пошло  дальнобойщикам  на уступки. 10 ноября Дмитрий Медведев подписал постановление, которое снижает размер оплаты до 1,53 рубля за один километр до 29 февраля ... 
2	ЕР: дальнобойщики в Дагестане прекратили протесты - РИА Новости	" МОСКВА, 25 ноя — РИА Новости.  Дальнобойщики  в Дагестане прекратили акцию  протеста  против введения платы за большегрузы после переговоров с Росавтодором и другими компаниями, сообщила пресс-служба фракции ""Единая Россия"". Система ""Платон"" заработала в России с 15 ... "
1	Кубанские дальнобойщики потребовали отставки министра транспорта Максима Соколова - NEWSru.com	 Добавим, что один из координаторов протестов подчеркнул, что дальнобойщики края готовы поддержать всероссийскую акцию протеста, намеченную на 5 декабря. По словам собеседника РБК,  протесты дальнобойщиков  не идут на спад и водители готовы к дальнейшей борьбе против ... 
3	СМИ: дальнобойщики со всей страны приедут на акцию протеста в Москву 30 ноября - Газета.Ru	 По словам одного из лидеров  дальнобойщиков  в Санкт-Петербурге Сергея Гуляева, в течение двух дней водители проведут переговоры, чтобы согласовать свои планы. Как отмечается, участники намерены четко определить, сколько человек примут участие в акции, какие машины, из ... 
3	«Будем продолжать акцию, пока нам не пойдут на уступки» - Газета.Ru	 Чтобы добиться отмены сбора за проезд по федеральным трассам,  дальнобойщики  вместе с единомышленниками из других регионов планировали к концу месяца колонной двинуться на Москву. В столице водители намерены были продолжить забастовку и использовать более агрессивные методы, ... о дальнейшей  ...  
1	Дальнобойщики Тюмени вышли на бессрочную акцию протеста - Радио Свобода	" В Тюмени  дальнобойщики  объявили бессрочную акцию  протеста  против платежной системы ""Платон"" – водители намерены ежедневно выезжать на акцию ""Улитка"", медленно двигаясь по одному и тому же маршруту, сообщает интернет-портал ""URA.ru"". Остальное время грузовики ... "
0	"Протесты дальнобойщиков в РФ: Тюменские водители грузовиков устроили акцию протеста ""Улитка"" - Новое Время"	" Тюменские  дальнобойщики , протестующие против введения платы за проезд по федеральным трассам и созданной для этого системы Платон, устроили акцию  протеста  ""Улитка"". Как передает Русская служба BBC, колонна из нескольких десятков грузовиков выехала на объездную ... "
1	Ярославль: дальнобойщики требуют отставки правительства - Радио Свобода	"  Протесты дальнобойщиков  против введения сбора за проезд грузовиков массой более 12 тонн по федеральным трассам проходят во многих городах России с 11 ноября. Недовольство водителей вызвал не только новый сбор и разработанная для него платежная система ""Платон"", ... "
2	Дагестанским властям удалось мирно прекратить протесты дальнобойщиков - РосРегистр	 Введение системы по сбору платы за проезд по федеральным трассам «Платон» было встречено  протестами  со стороны водителей. В список бастующих регионов попал и Дагестан, где, однако, властям удалось мирно и достаточно быстро решить конфликт. Как сообщает ... 
3	Дагестан не сдается «Платону» - Газета.Ru	  Дальнобойщики  стали бастовать с середины ноября. Часть в знак  протеста  просто не вышли на работу и остались дома, другие остановились вдоль дорог. Координации и самоорганизации позавидуют московские акции  протеста . Через группы в соцсетях водители объединяются, ... 
1	Протесты дальнобойщиков докатились до Тюмени - МВ	  Протесты дальнобойщиков  против введения сбора за проезд грузовиков массой более 12 тонн по федеральным трассам проходят во многих городах России с 11 ноября. Недовольство водителей вызвал не только новый сбор и разработанная для него платежная система «Платон», ... 
1	Дальнобойщики из Санкт-Петербурга намерены перенести протесты в Москву - Коммерсантъ	 Ранее «Единая Россия» и Росавтодор объявили об урегулировании конфликта с дагестанскими  дальнобойщиками , которые собирались перекрывать движение на МКАД в знак  протеста  против системы взимания платы «Платон». Власти утверждают, что водителям «разъяснили все ... 
1	"Псковские дальнобойщики протестуют против системы ""Платон"" - BBC Russian"	" Украина раньше, Сирия, Турция. Мы слышим только об этом, о дальнобойщиках нигде не говорят, хотя они с 15 ноября выходили на улицы"", - Иван вспомнил о  протестах  в Дагестане и акции в Пскове, когда фуры перегородили улицу Чудскую, а  дальнобойщики  ходили взад-вперед по ... "
1	Дальнобойщики рассказали о попытках ГИБДД предотвратить протесты в Москве - РБК	 Всего из Дагестана на акцию  протеста  ранее собиралось выехать не меньше 1000 фур. Примерно 200 машин отправились еще в пятницу, 27 ноября. «Я выехал из Дагестана вчера, проблем не было», — рассказал РБК водитель по имени Мурад. Конечная цель  дальнобойщиков  ... 
3	Бабченко рассказал, как Кремль организует беспощадный протест в России - Обозреватель	" Российский журналист Аркадий Бабченко уверен, что Кремль обострит  протесты дальнобойщиков  против введенной в России платы за проезд по федеральным трассам для большегрузов ""Платон"". Об этом он написал на своей странице в Facebook. ""Самое идиотское, что может ... "
0	В Петербурге задержан координатор протеста дальнобойщиков - Lenta.ru	 В Петербурге задержан координатор  протеста дальнобойщиков , активист общественного движения ТИГР Александр Расторгуев. Об этом представитель водителей большегрузов Санкт-Петербурга Александр Химане сообщил в воскресенье, 29 ноября, радиостанции «Говорит ... 
0	Акция в поддержку протестов дальнобойщиков в Москве обернулась задержаниями - NEWSru.com	" Акция в поддержку  протестов дальнобойщиков  в Москве обернулась задержаниями: в ОВД забрали более десятка активистов, вставших с одиночными пикетами, сообщает сайт мониторинга политических задержаний ""ОВД-Инфо"". По закону одиночные пикеты не требуют согласования ... "
3	?Забастовка дальнобойщиков в России: появилось видеообращение к Путину - Апостроф	Член Координационного совета  дальнобойщиков  Санкт-Петербурга Сергей Гуляев записал видеообращение к руководству Российской Федерации с требованием отреагировать на  протесты  перевозчиков и отменить введение пошлин за проезд фур по федеральным трассам.
1	Протест дальнобойщиков: поход на Москву - Грани.Ру	" Сотни  дальнобойщиков  из разных регионов начали ""поход на Москву"" с требованием отмены дорожного сбора. В понедельник они собираются устроить коллапс на МКАДе. Но до столицы доберутся далеко не все участники  протеста : на трассах по всей стране их останавливают под ... "
1	Дальнобойщики из Питера едут на акцию протеста в Москву - BBC Russian	" Водители фур поддерживают акцию  протеста дальнобойщиков  против введения платы за проезд по федеральным трассам. Система под названием ""Платон"" для взимания платы с водителей транспортных средств массой выше 12 тонн заработала по всей России с 15 ноября. "
3	Холманских не вышел: Полпред проигнорировал протесты дальнобойщиков - ИА ПолитСовет	 В Екатеринбурге накануне прошла очередная акция  протеста дальнобойщиков  против введения платы за проезд по федеральным дорогам. В мероприятии, по разным оценкам, приняли участие от 100 до 200 человек. Приглашенный на встречу полпред президента Игорь Холманских, ... 
3	Протесты дальнобойщиков в России попробует «усмирить» президентский Совет по правам человека - Joinfo.ua	 Президентский Совет по правам человека намерен урегулировать  протест дальнобойщиков  и оказать помощь в устранении конфликта из-за введения системы оплаты проезда большегрузов «Платон», заявил глава СПЧ Михаил Федотов. Такое заявление сделано на фоне того, что ... 
1	Протесты дальнобойщиков: если 3 декабря «Платон» не отменят, то 4 под Кремлем будут гореть шины - Joinfo.ua	  Протест дальнобойщиков  в России продолжается, и накануне начали поступать сведения о новой принципиальной дате решения вопроса с системой «Платон» – 3 декабря, передает Joinfo.ua со ссылкой на СМИ России. При этом, некоторые активисты данную дату воспринимают как ... 
1	Протестующие дальнобойщики готовят массовые протесты в Москве: водители уже съезжаются в столицу - Российский Диалог	" Один из организаторов  протестов ,  дальнобойщик  Александр Химане сообщил, что массовые акции запланированы в Москве на 3-4 декабря, если же система ""Платон"" не будет к этому времени отменена. К 3 декабря все дальнобойщики уже съедутся в столицу, обещают организаторы. "
3	Протесты дальнобойщиков в России организовал Обама - Обозреватель	Все логично. Причем обошелся без ЦРУ. Почему протестуют  дальнобойщики ? Потому что ввели новый налог. Почему ввели новый налог? Потому что не хватает денег в бюджете. Почему не хватает денег? Потому что цена на нефть упала. Почему упала цена на нефть? Потому что ...
1	Протесты дальнобойщиков: водители из 15 регионов России определились с датой марша по Москве - Joinfo.ua	  Протест дальнобойщиков  вскоре будет шуметь и в самой Москве, так как водители со всей России едут в столицу для донесения до властей требования об отмены нового налога – платы за проезд по федеральным трассами через так называемую «систему сбора платежей «Платон», ... 
1	Протесты дальнобойщиков: водители из 15 регионов России определились с датой марша по Москве - Joinfo.ua	  Протест дальнобойщиков  вскоре будет шуметь и в самой Москве, так как водители со всей России едут в столицу для донесения до властей требования об отмены нового налога – платы за проезд по федеральным трассами через так называемую «систему сбора платежей «Платон», ... 
3	Протесты дальнобойщиков. Нужно ли искать компромисс с противниками платных дорог? - CИА	" Запуск 15 ноября системы ""Платон"", взимающей плату за проезд по федеральным трассам грузовиков тяжелее 12 тонн, ознаменовался  протестами дальнобойщиков . А введение 23 ноября платного участка трассы М-11 Москва—Санкт-Петербург привело к увеличению пробок на ... "
1	Блокада Москвы: дальнобойщики устроят Кремлю транспортный коллапс (фото, видео) - Подробности	 Массовые  протесты  российских  дальнобойщиков , которые начались три недели назад, продолжают нарастать, в результате чего Москва может в ближайшие дни оказаться в транспортной блокаде. Волну  протестов  спровоцировало введение нового налога на перевозку грузов ... 
1	"Всероссийскую акцию протеста против системы ""Платон"" перенесли на 3 декабря - NEWSru.com"	О переносе всероссийской акции  протеста  сообщил ТАСС председатель профсоюза водителей- дальнобойщиков  Александр Котов. Собеседник агентства напомнил: в ноябре в регионах России  дальнобойщики  уже провели акции  протеста  против взимания платы с грузовиков весом от ...
0	Протесты дальнобойщиков в РФ: полиции разрешили стрелять - Joinfo.ua	 Об этом заявил председатель межрегионального профсоюза  дальнобойщиков  России Александр Котов, сообщает Joinfo.ua со ссылкой на росСМИ. «Нам известно, что сотрудникам МВД дали прямые распоряжения применять силу, если забастовщики начнут прорываться в Москву. 
3	"Протест дальнобойщиков: ""Вся парковка в фурах, никто дальше не едет"" - BBC Russian"	" Все воскресенье в новостные ленты СМИ, освещающих  протест дальнобойщиков , попадали сообщения преимущественно из Петербурга или с юга — откуда к Москве должна была двигаться большая колонна дагестанских ""дальнобоев"". Лишь к вечеру стало известно, что еще одним ... "
1	Протесты дальнобойщиков охватили всю РФ: к акции присоединились водители Сахалина - Joinfo.ua	  Протест дальнобойщиков  в России против взимания средств за проезд по федеральным трассам охватывает все регионы страны. К активистам всей России присоединились и сахалинские дальнобойщики, передает Joinfo.ua со ссылкой на СМИ России. Как пишут местные СМИ, ... 
1	Новосибирские дальнобойщики продолжили протесты против «Платона» - НГС.НОВОСТИ	 29 ноября сотня новосибирских  дальнобойщиков  присоединилась к общероссийской акции против внедрения системы «Платон» на Омском тракте в городе Обь. Как рассказал присутствующий на мероприятии активист Станислав Шевченко, свой  протест  выразили около сотни ... 
0	Дальнобойщики вышли на акцию протеста в Новосибирске с трусами в руках - РБК	 В связи с введением системы сбора платы — за четыре дня до ее запуска — начались стихийные  протесты дальнобойщиков . Накануне стало известно, что ситуацией с протестами вокруг системы «Платон» намерен заняться президентский Совет по правам человека. 2 декабря ... 
3	Росавтодор пообещал наказывать дальнобойщиков за протесты - NEWSru.com	" Федеральное дорожное агентство России (Росавтодор) обещает наказывать  дальнобойщиков , которые протестуют против системы ""Платон"". Ранее сообщалось, что участники акции  протеста  готовы блокировать Москву, если власти РФ не отменят дополнительный сбор за проезд по ... "
1	Бунт дальнобойщиков: вторую волну протеста поддержали в 24 регионах - РБК	 Водители- дальнобойщики  бастуют, перекрывают улицы, устраивают «цепи  протеста » вдоль трасс, пикетируют офисы системы «Платон»? уже неделю. Стихийные  протесты  начались с 11 ноября, за четыре дня до запуска новой системы, через которую перевозчики теперь должны ... 
1	"Протесты дальнобойщиков ""раскалили"" Госдуму РФ: депутаты в истерике требуют ""все запретить"" - Joinfo.ua"	 Всероссийские  протесты дальнобойщиков  продолжается, однако сегодня в Госдуму РФ был внесен законопроект о запрете движения автомобильных колонн и проведении акций протеста на дорогах, который будет рассмотрен сегодня же в трех чтениях. 
2	Губернатор Приморья предложил успокоить протесты дальнобойщиков снижением тарифов по «Платону» - Joinfo.ua	  Протесты дальнобойщиков  продолжаются, а конфликт между властью и активистами накаляется, поэтому губернатор Приморья Владимир Миклушевский направил обращение в правительство РФ с идеей приостановить сроком на один год действие постановления, вводящего ... 
1	«Ребята были готовы ехать до самого Кремля» - Meduza	 Стихийные  протесты дальнобойщиков  по всей стране продолжаются — они выступают против введения «Платона», системы по взиманию платы за каждый километр проезда по федеральным трассам. По сути, это главная протестная акция года в России; при этом водители фур от ... 
1	Кремль неадекватно реагирует на протесты дальнобойщиков - Радиостанция ЭХО МОСКВЫ	 К границам Москвы, по нашей информации, продолжают прибывать все новые автомобили  дальнобойщиков . Они грозят массовой забастовкой, протестуя против системы «Платон». Кремль этот кризис спровоцировал сам, в самый неподходящий для себя момент. На столь ... 
1	Михаил Касьянов, Кремль неадекватно реагирует на протесты дальнобойщиков - Сводка Украинских и Мировых Новостей	 К границам Москвы, по нашей информации, продолжают прибывать все новые автомобили  дальнобойщиков . Они грозят массовой забастовкой, протестуя против системы «Платон». Кремль этот кризис спровоцировал сам, в самый неподходящий для себя момент. На столь ... 
1	Дальнобойщики назначили дату проведения акции протеста в России - ГЛАВКОМ	 Согласно сообщению, в совете приняли участие 10 координаторов, которые представляют более 20 регионов и городов России, в том числе Северо-запад, Волгоград и Дагестан. Они выработали общий план действий и назначили точную дату всероссийской акции  протеста . 
3	Протесты дальнобойщиков названы главным событием месяца - Газета.Ru	 Губернаторы не сделали выводов из протестных акций прошлого и неумело реагируют на  протесты дальнобойщиков . Правда, часть из них пытается найти общий язык с водителями, говорится в новом исследовании фонда «Петербургская политика».  Протест дальнобойщиков  могут ... 
3	Омбудсмены не смогли остановить протесты дальнобойщиков - ИА ПолитСовет	Совет по правам человека при президенте РФ накануне провел встречу с представителями протестующих  дальнобойщиков . Заседание СПЧ закончилось безрезультатно — ключевых решений принято не было. Водители намерены продолжить акции против системы «Платон».
1	Протесты дальнобойщиков: решение о начале акции будет после окончания выступления Путина - Joinfo.ua	  Протесты дальнобойщиков  в Москве могут начаться сразу же после окончания послания президента России Владимира Путина Совету Федерации. Об этом сообщает российский журналист Арсений Веснин в Твиттер, передает Joinfo.ua. Так, по словам журналиста, окончательное ... 
0	Протесты дальнобойщиков: из Подмосковья сформированные колонны двинулись на Москву - Joinfo.ua	 Акция  протеста дальнобойщиков , наконец-то, добралась до Москвы с целью донести свои требования до властей. Так, водители сформировали колонны в Подмосковье для начала масштабной акции, передает Joinfo.ua со ссылкой на СМИ России. Журналист из Вологды Сергей ... 
0	Протесты дальнобойщиков в Москве начались: водители подняты по тревоге - Joinfo.ua	  Протесты дальнобойщиков  в Москве уже начались, так как активисты выдвинулись на место сборов. Об этом сообщает российский журналист Арсений Веснин в Твиттер, передает Joinfo.ua. «Все, подняли тревогу, общий сбор начинается. Сейчас едем проверить запланированное ... 
0	Дальнобойщики собираются на акцию протеста в Москве - Газета.Ru	 Протестующие против введения платы за проезд по федеральным трассам  дальнобойщики  решили не менять свои планы по проведению масштабной несанкционированной акции  протеста  в Москве. Сразу после окончания выступления Владимира Путина, которое многие водители ... 
1	Протесты дальнобойщиков: участники акции заявили, что готовы к противостоянию с силовиками - Joinfo.ua	"  Протесты дальнобойщиков : участники акции заявили, что готовы к противостоянию с силовиками.  Протесты дальнобойщиков , которые выступают против введения системы ""Платон"", могут стать серьезной проблемой для российских властей. "
0	Протесты дальнобойщиков: к окраине Москвы подъехали полтысячи грузовиков, их окружила полиция - Joinfo.ua	  Протесты дальнобойщиков  уже дошли до пригородов российской столицы. Так, в Химки заехала большая колонная большегрузов, передает Joinfo.ua. Согласно сообщениям координационной платформы «АнтиПлатон» в Твиттер, водителей в Химках окружили полицейские, ... 
3	Протесты дальнобойщиков знаменуют, что возник новый тип общественной активности - Inopressa	" ""Я думаю, что скоро сожгу свою машину. Налог нас всех разорит. Я получаю социальное пособие на ребенка - 112 рублей в месяц. Как мне растить его на такие деньги?"" - сказал в интервью The Moscow Times Расул, водитель грузовика из Дагестана. Расул возмущен новой системой ... "
1	Российские дальнобойщики собираются на акцию протеста в Москве - TUT.BY	 Протестующие против введения платы за проезд по федеральным трассам  дальнобойщики  решили не менять свои планы по проведению масштабной несанкционированной акции  протеста  в Москве. Сразу после окончания выступления Владимира Путина, которое многие водители ... 
0	Протесты дальнобойщиков: к «окруженным» водителям в Химки власти направили колонну военной техники - Joinfo.ua	  Протесты дальнобойщиков  «застряли» в пригороде Москвы, в городе Химки, где полицейские заблокировали водителей и куда действующая в РФ власть начала свозить военную технику, передает Joinfo.ua. Согласно сообщению на координационной платформе «АнтиПлатон», один ... 
0	Дальнобойщики начали акцию протеста в Москве - Корреспондент.net	 Водители большегрузных авто начали акцию  протеста  на Московской кольцевой автодороге. Об этом Slon рассказал координатор водителей Сергей Гуляев. В соцсетях очевидцы сообщают, что на данный момент все шесть полос закрыт. Сообщается, что на севере Москвы в районе ... 
0	Дальнобойщики начали акцию протеста на МКАДе - Lenta.ru	  Дальнобойщики  начали акцию  протеста  на Московской кольцевой автодороге (МКАД) в районе Ленинградского шоссе. Об этом в пятницу, 4 декабря, сообщил на своей странице в Twitter корреспондент русской службы «Би-би-си» Павел Аксенов. Большегрузы заняли четыре полосы на ... 
2	Протесты дальнобойщиков в РФ: полицейские разблокировали МКАД - InfoResist	 Российская полиция перестала блокировать московскую кольцевую дорогу в районе Ленинградского шоссе. Ранее дорогу перекрыли в связи с акцией  протеста дальнобойщиков . Вместе с тем, в Twitter «АнтиПлатона» сообщается, что фура перекрыла съезд возле Ленинградки. В ГИБДД ... 
3	Литва введет сбор с российских дальнобойщиков в ответ на «Платон» - РБК	 ... грузовики в РФ, однако с 15 ноября 2015 года в России заработала система « Платон », взимающая плату за проезд по федеральным трассам со всех перевозчиков. Ввод платы за проезд для российских  дальнобойщиков  в литовском Минтрансе назвали ответом на запуск « Платона ». 
3	Платон сближает: как дальнобойщики двинулись на Москву - BBC Russian	" "" Платон  сближает: я за последние дни со столькими познакомился!"" - шутит Алексей Радьков. Мы едем вместе с ним к одной из точек сбора  дальнобойщиков , решившихся на вояж в Москву. На многих сайтах пишут о том, что  дальнобойщиков  останавливают и допрашивают, но мы ... "
1	Дальнобойщики выйдут на пикет против «Платона» в Новосибирске - Курьер.Среда.Бердск	 Журналист Александр Черных сообщил в эфире «Коммерсантъ FM», что некоторые  дальнобойщики  сегодня, 4 декабря, планируют провести акцию протеста против системы « Платон ». По его словам, водители большегрузов собираются «выехать в максимальном количестве на МКАД ... 
3	"Дальнобойщики передали в правительство подписи за отмену ""Платона"" - NEWSru.com"	" Инициативная группа  дальнобойщиков  передала в правительство России подписи граждан, которые выступают за отмену системы взимания платы с большегрузов "" Платон "". Таковых оказалось три тысячи, рассказал агентству ""Москва"" член координационного центра акций ... "
